,qos value,time slice id,user id,service id,user ip add,user country,user as,service wsdl add,service provider,service ip add,service country,service as
29,0.935,29.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
30,0.875,30.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
31,3.787,31.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
32,0.829,32.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
33,0.914,33.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
34,0.83,34.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
35,0.763,35.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
36,0.846,36.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
37,3.677,37.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
38,9.752,38.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
39,0.976,39.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
40,0.773,40.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
41,0.832,41.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
42,0.738,42.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
43,3.846,43.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
44,0.849,44.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
45,0.743,45.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
46,0.814,46.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
47,0.771,47.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
48,3.817,48.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
49,0.82,49.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
50,0.791,50.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
51,0.797,51.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
52,0.793,52.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
53,0.918,53.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
54,0.86,54.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
55,0.919,55.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
56,9.815,56.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
57,0.815,57.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
58,0.899,58.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
59,0.973,59.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
60,3.637,60.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
61,0.757,61.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
62,0.827,62.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
63,0.79,63.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
64,1.166,0.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
65,1.871,1.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
66,0.56,2.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
67,0.495,3.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
68,0.467,4.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
69,0.595,5.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
70,2.855,6.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
71,3.65,7.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
72,3.569,8.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
73,0.515,9.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
74,0.506,10.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
75,3.526,11.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
76,3.414,12.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
77,0.484,13.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
78,3.638,14.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
79,0.623,15.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
80,0.607,16.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
81,0.452,17.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
82,3.838,18.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
83,0.587,19.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
84,0.476,20.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
85,0.566,21.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
86,3.156,22.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
87,3.724,23.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
88,3.549,24.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
89,0.593,25.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
90,0.62,26.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
91,0.49,27.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
92,0.518,28.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
93,0.571,29.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
94,0.502,30.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
95,0.495,31.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
96,0.518,32.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
97,0.565,33.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
98,0.523,34.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
99,0.468,35.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
100,0.538,36.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
101,0.516,37.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
102,0.456,38.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
103,0.544,39.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
104,1.145,40.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
105,0.721,41.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
106,0.573,42.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
107,0.591,43.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
108,0.447,44.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
109,0.547,45.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
110,0.641,46.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
111,0.47,47.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
112,0.604,48.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
113,0.498,49.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
114,0.534,50.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
115,0.601,51.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
116,0.539,52.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
117,0.569,53.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
118,0.609,54.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
119,0.562,55.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
120,3.448,56.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
121,3.191,57.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
122,0.544,58.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
123,0.499,59.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
124,0.572,60.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
125,0.542,61.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
126,0.53,62.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
127,0.612,63.0,1.0,0.0,1,29,115,1487,1716,1813,70,571
128,5.975,0.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
129,2.19,1.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
130,0.433,2.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
131,0.451,3.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
132,0.434,4.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
133,0.411,5.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
134,0.463,6.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
135,0.414,7.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
136,0.421,8.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
137,0.418,9.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
138,0.418,10.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
139,0.414,11.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
140,0.412,12.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
141,0.466,13.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
142,0.41,14.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
143,0.446,15.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
144,0.414,16.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
145,0.457,17.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
146,0.412,18.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
147,0.414,19.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
148,0.422,20.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
149,0.429,21.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
150,0.413,22.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
151,0.415,23.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
152,0.413,24.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
153,0.412,25.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
154,0.411,26.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
155,0.421,27.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
156,0.413,28.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
157,0.412,29.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
158,0.415,30.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
159,0.421,31.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
160,0.414,32.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
161,0.413,33.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
162,0.413,34.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
163,0.411,35.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
164,0.417,36.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
165,0.413,37.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
166,0.417,38.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
167,0.416,39.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
168,0.416,40.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
169,0.414,41.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
170,0.419,42.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
171,0.423,43.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
172,0.413,44.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
173,0.439,45.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
174,0.996,46.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
175,0.428,47.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
176,0.414,48.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
177,0.414,49.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
178,0.416,50.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
179,0.412,51.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
180,0.412,52.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
181,0.449,53.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
182,0.413,54.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
183,0.411,55.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
184,0.415,56.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
185,0.587,57.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
186,0.415,58.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
187,0.413,59.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
188,0.415,60.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
189,0.412,61.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
190,0.413,62.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
191,0.414,63.0,2.0,0.0,2,15,94,1487,1716,1813,70,571
192,11.014,0.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
193,1.277,1.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
194,1.522,2.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
195,1.414,3.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
196,4.483,4.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
197,0.951,5.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
198,2.017,6.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
199,18.152,7.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
200,1.08,8.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
201,0.591,9.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
202,1.796,10.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
203,0.582,11.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
204,4.277,12.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
205,3.741,13.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
206,0.924,14.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
207,1.56,15.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
208,0.696,16.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
209,1.029,17.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
210,2.725,18.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
211,0.913,19.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
212,1.009,20.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
213,0.611,21.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
214,2.268,22.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
215,1.074,23.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
216,1.291,24.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
217,1.353,25.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
218,5.476,26.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
219,2.036,27.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
220,1.034,28.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
221,1.044,29.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
222,4.157,30.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
223,3.013,31.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
224,3.867,32.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
225,1.265,33.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
226,9.949,34.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
227,1.698,35.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
228,0.973,36.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
229,0.971,37.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
230,1.63,38.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
231,0.482,39.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
232,2.87,40.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
233,0.671,41.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
234,1.045,42.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
235,1.895,43.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
236,2.731,44.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
237,0.695,45.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
238,3.518,46.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
239,1.567,47.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
240,3.053,48.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
241,0.604,49.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
242,0.455,50.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
243,3.329,51.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
244,0.646,52.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
245,2.441,53.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
246,0.679,54.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
247,1.588,55.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
248,2.646,56.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
249,0.801,57.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
250,4.092,58.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
251,1.458,59.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
252,2.246,60.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
253,0.963,61.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
254,5.638,62.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
255,2.01,63.0,3.0,0.0,3,29,28,1487,1716,1813,70,571
256,0.783,0.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
257,0.528,1.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
258,0.694,2.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
259,0.547,3.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
260,0.602,4.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
261,3.601,5.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
262,0.601,6.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
263,0.54,7.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
264,0.546,8.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
265,0.578,9.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
266,0.575,10.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
267,0.53,11.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
268,0.614,12.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
269,0.532,13.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
270,0.505,14.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
271,0.504,15.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
272,0.52,16.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
273,0.603,17.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
274,0.526,18.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
275,0.614,19.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
276,0.584,20.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
277,0.555,21.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
278,0.512,22.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
279,0.671,23.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
280,0.519,24.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
281,0.537,25.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
282,0.593,26.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
283,3.093,27.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
284,0.506,28.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
285,0.516,29.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
286,0.52,30.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
287,0.564,31.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
288,0.571,32.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
289,0.567,33.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
290,0.537,34.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
291,0.528,35.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
292,0.512,36.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
293,0.509,37.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
294,0.537,38.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
295,0.533,39.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
296,0.51,40.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
297,0.605,41.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
298,0.561,42.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
299,0.508,43.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
300,0.545,44.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
301,0.516,45.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
302,0.534,46.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
303,0.597,47.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
304,0.536,48.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
305,0.574,49.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
306,0.597,50.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
307,0.516,51.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
308,0.509,52.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
309,0.521,53.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
310,0.745,54.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
311,0.511,55.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
312,0.572,56.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
313,0.561,57.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
314,0.656,58.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
315,0.556,59.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
316,0.602,60.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
317,0.512,61.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
318,0.526,62.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
319,0.553,63.0,4.0,0.0,4,29,28,1487,1716,1813,70,571
320,0.729,0.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
321,3.436,1.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
322,0.509,2.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
323,0.574,3.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
324,0.633,4.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
325,3.256,5.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
326,0.632,6.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
327,0.587,7.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
328,0.547,8.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
329,0.665,9.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
330,0.535,10.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
331,3.552,11.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
332,0.513,12.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
333,3.496,13.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
334,3.64,14.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
335,0.608,15.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
336,0.57,16.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
337,0.62,17.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
338,0.625,18.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
339,0.629,19.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
340,0.57,20.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
341,0.528,21.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
342,0.56,22.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
343,0.589,23.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
344,3.32,24.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
345,0.572,25.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
346,0.51,26.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
347,0.578,27.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
348,0.634,28.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
349,0.594,29.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
350,3.648,30.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
351,0.624,31.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
352,0.585,32.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
353,0.528,33.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
354,0.607,34.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
355,0.524,35.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
356,0.543,36.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
357,0.673,37.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
358,0.615,38.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
359,0.568,39.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
360,0.528,40.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
361,0.665,41.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
362,0.556,42.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
363,0.513,43.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
364,0.57,44.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
365,0.541,45.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
366,0.559,46.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
367,0.64,47.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
368,0.517,48.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
369,0.602,49.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
370,0.545,50.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
371,0.571,51.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
372,3.303,52.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
373,0.596,53.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
374,0.553,54.0,5.0,0.0,5,29,15,1487,1716,1813,70,571
